EmpID,EmpLast,EmpFirst,Address,City,State,Zip,Phone,Cell,SSN,DOB,StartDate,EndDate,PositionID,Salary,HourlyRate,Review,WarehouseID,Memo
1,Bowers,David,10124 Metropolitan Drive,Seattle,WA,98117,2062465132,2065754321,154003785,1985/9/12,1998/1/22,,1,72000,,,WA-1,
2,Iko,Robert,698 Round Mountain,Seattle,WA,98124,2065472315,2064875312,705246513,1994/12/16,2006/12/15,,7,59500,,2007/6/15,WA-1,
3,Sanchez,Virginia,201 River Road,Spokane,WA,99215,5093451687,5096348732,724568132,1988/10/24,2004/6/10,,2,48500,,2007/12/15,WA-1,Emergency contact for alarm company
4,Behrens,Eric,21 Adrian Way,Jackson Hole,WY,83005,3075461272,3075763154,956346120,1995/2/14,2005/9/12,2006/2/15,3,,12.5,,WY-1,
7,Castillo,Brian,52 Denton Drive #49,Portland,OR,97205,5035742742,5035647154,923546124,1990/8/14,2001/6/14,,3,,12.75,2008/6/14,OR-1,
8,Cox,Cynthia,1515 Patterson Road,Portland,OR,97210,5032412423,5035496113,854230000,1985/10/6,2006/12/30,,2,50000,,2007/6/30,OR-1,
9,Maestas,John,5506 Beach Street West,Spokane,WA,99216,5096741543,5093782312,487002468,1995/11/24,2001/11/15,,4,42500,,2007/11/1,WA-1,Speaks fluent Spanish
10,Cumberland,Mark,16542 Angus Road #280,Portland,OR,97206,5032486453,5032786424,705435126,1996/7/30,2002/10/1,2006/3/15,6,,12.25,,OR-1,
11,Colmenero,Darnell,6000 Balcones Drive,Seattle,WA,98113,2063475354,2063547215,723549785,1997/4/5,2002/9/2,,3,,15,2008/9/15,WA-1,
12,Lu,James,5003 Mallard Avenue #587,Jackson Hole,WY,83001,3076784513,3072468732,709564321,1999/12/31,2005/2/24,,2,48500,,2007/2/24,WY-1,Speaks fluent Chinese
13,Orosco,Barry,2001 Kenosha Pass,Spokane,WA,99216,5093451357,5093575166,723246875,1989/7/4,2006/3/21,2006/5/15,5,,9.75,,WA-1,
14,Hargadon,Richard,901 Great Oaks Cove,Seattle,WA,98154,2063547987,2063541287,984651372,1991/3/1,2006/7/15,,6,,10.5,2007/8/15,WA-1,
15,Nader,John,321 Sturgis,Jackson Hole,WY,83001,3075467135,3072468731,905346755,1992/4/24,2001/8/1,,3,,11.25,2008/8/1,WY-1,
