EmpID,EmpLast,EmpFirst,Zip,Phone,Cell,SSN,DOB,StartDate,EndDate,PositionID,Salary,HourlyRate,Review,WarehouseID,Memo,Address,City,State
1,Bowers,David,98117,2062465132,2065754321,154003785,1985/9/12,1998/1/22,NULL,1,72000,NULL,NULL,WA-1,,10124 Metropolitan Drive,Seattle,WA
2,Iko,Robert,98124,2065472315,2064875312,705246513,1994/12/16,2006/12/15,NULL,7,59500,NULL,2007/6/15,WA-1,,698 Round Mountain,Seattle,WA
3,Sanchez,Virginia,99215,5093451687,5096348732,724568132,1988/10/24,2004/6/10,NULL,2,48500,NULL,2007/12/15,WA-1,Emergency contact for alarm company,201 River Road,Spokane,WA
4,Behrens,Eric,83005,3075461272,3075763154,956346120,1995/2/14,2005/9/12,2006/2/15,3,NULL,12.5,,WY-1,,21 Adrian Way,Jackson Hole,WY
7,Castillo,Brian,97205,5035742742,5035647154,923546124,1990/8/14,2001/6/14,NULL,3,NULL,12.75,2008/6/14,OR-1,,52 Denton Drive #49,Portland,OR
8,Cox,Cynthia,97210,5032412423,5035496113,854230000,1985/10/6,2006/12/30,NULL,2,50000,NULL,2007/6/30,OR-1,,1515 Patterson Road,Portland,OR
9,Maestas,John,99216,5096741543,5093782312,487002468,1995/11/24,2001/11/15,NULL,4,42500,NULL,2007/11/1,WA-1,Speaks fluent Spanish,5506 Beach Street West,Spokane,WA
10,Cumberland,Mark,97206,5032486453,5032786424,705435126,1996/7/30,2002/10/1,2006/3/15,6,NULL,12.25,,OR-1,,16542 Angus Road #280,Portland,OR
11,Colmenero,Darnell,98113,2063475354,2063547215,723549785,1997/4/5,2002/9/2,NULL,3,NULL,15,2008/9/15,WA-1,,6000 Balcones Drive,Seattle,WA
12,Lu,James,83001,3076784513,3072468732,709564321,1999/12/31,2005/2/24,NULL,2,48500,NULL,2007/2/24,WY-1,Speaks fluent Chinese,5003 Mallard Avenue #587,Jackson Hole,WY
13,Orosco,Barry,99216,5093451357,5093575166,723246875,1989/7/4,2006/3/21,2006/5/15,5,NULL,9.75,,WA-1,,2001 Kenosha Pass,Spokane,WA
14,Hargadon,Richard,98154,2063547987,2063541287,984651372,1991/3/1,2006/7/15,NULL,6,NULL,10.5,2007/8/15,WA-1,,901 Great Oaks Cove,Seattle,WA
15,Nader,John,83001,3075467135,3072468731,905346755,1992/4/24,2001/8/1,NULL,3,NULL,11.25,2008/8/1,WY-1,,321 Sturgis,Jackson Hole,WY
16,Medrano,George,98124,2063412024,2063241200,546570000,1994/4/10,2006/10/15,NULL,6,NULL,11.25,2008/10/15,WA-1,,3987 NW 87th Street #8,Seattle,WA
17,Goodman,Rachel,97204,5032415756,5032175613,978451342,1997/6/21,2004/11/3,NULL,5,NULL,12.75,2008/1/15,OR-1,On maternity leave through 12/2008,9876 Parker Street,Portland,OR
18,Anderson,Shayla,98124,2063214571,2063218756,926543210,1988/9/28,2003/9/24,NULL,6,NULL,12.5,2008/9/15,WA-1,,4321 Barton Cliff Drive,Seattle,WA
19,Ozmun,Alfonso,98126,2063124024,2062497513,946532100,1990/5/30,2005/6/15,NULL,5,NULL,12,2008/2/28,WA-1,,510 Immanuel Avenue,Seattle,WA
20,Nunis,Sophia,99214,5093478992,5098973246,987451372,1989/12/12,2006/10/20,NULL,6,NULL,12,2008/1/15,WA-1,,5471 Wyoming Springs Way,Spokane,WA
21,Nettles,Dora,98123,2067546512,2065795462,723246512,1988/10/14,2002/10/21,NULL,3,NULL,14.75,2008/2/15,WA-1,,24 Frontier Trail NE,Seattle,WA
22,Romano,Kristina,98113,2062449876,2062748648,704513547,1997/6/20,2001/5/20,NULL,4,45000,NULL,2008/5/1,WA-1,,8 Anderson Loop,Seattle,WA
23,Hearne,Doug,97204,5032462465,5037654354,722154321,1982/5/21,2004/1/15,NULL,6,NULL,12.75,2008/1/15,OR-1,,11 Lost Pine Trail,Portland,OR
24,Murphy,Tom,97214,5032471355,5037543257,701543216,1977/6/5,2004/2/16,NULL,6,NULL,13,2008/3/15,OR-1,,4007 James White Avenue,Portland,OR
25,Castro,Felicia,97226,5037543871,5034757135,724216452,1980/9/14,2005/3/16,NULL,6,NULL,12.5,2008/3/15,OR-1,,611 Montclaire Street,Portland,OR
26,Chiles,Gene,97215,5032798246,5032467835,954321642,1982/7/5,2004/3/1,NULL,6,NULL,12.5,2008/3/1,OR-1,,2506 Ferguson Lane #411,Portland,OR
