DriverID,DriverLast,DriverFirst,Address,City,State,Zip,Phone,Cell,SSN,DOB,StartDate,EndDate,MileageRate,Review,DrivingRecord
1,Lo,Jerry,600 East 22nd Street,Jackson Hole,WY,83001,3076435512,3075745444,124002465,1986-09-12,2014-01-22,2014-06-15,0.35,,A
2,Samson,John,9708 Manchaca Road,Spokane,WA,99213,5095422212,5095741115,725461340,1984-12-16,2015-11-22,,0.3,2015-05-20,A
3,Spichalla,Virginia,2120 53rd Street SW,Seattle,WA,98102,2067415132,2064571544,728224333,1986-10-24,2014-10-21,,0.35,2014-08-16,B
4,Nabinger,Jonathan,11215 87th Avenue NE,Seattle,WA,98103,2065431542,2064852461,901543211,1995-02-14,2013-09-12,,0.35,2013-01-05,C
7,Snowden,Byron,300 Promontory Drive,Portland,OR,97204,5034514541,5034875544,321560000,1993-08-14,2008-06-14,,0.35,2008-06-15,C
8,Solquim,Cindy,755 Cherry Valley Drive,Jackson Hole,WY,83002,3075712241,3078974541,915424687,1985-10-06,2006-03-14,,0.4,2007-10-01,A
9,Able,Manuel,3010 W Anderson Lane,Portland,OR,97201,5032121574,5034571544,987352000,1995-11-24,2011-04-05,,0.4,2012-11-01,B
10,Condon,Jackie,620 East Empire Street,Spokane,WA,99216,5097415741,5097842456,953102431,1996-07-30,2009-10-15,,0.45,2009-02-15,A
11,Vandre,Ned,10611 Freidrich Lane SW,Seattle,WA,98116,2062487468,2068745441,908754641,1997-04-05,2016-09-10,2017-03-22,0.45,2016-10-29,A
12,Lindsey,Nathan,861 Loop 337 E,Portland,OR,97207,5034571541,5037877771,983567899,1996-12-31,2016-02-24,,0.5,2016-03-01,A
13,O'Reilly,John,2520 Longview Drive E,Seattle,WA,98127,2065741241,2063127489,724135755,1984-07-04,2015-01-29,,0.5,2015-03-15,A
14,Mahata,Charles,101 Shady Lane,Jackson Hole,WY,83004,3079856455,3078973544,000267544,1991-03-01,2012-01-29,,0.5,2012-11-15,A
15,Strong,Victor,5421 Bee Cave Road,Spokane,WA,99216,5096451354,5095473123,721246721,1992-04-24,2014-08-14,,0.4,2014-10-15,A
16,Avalon,Robert,35741 Steck Avenue #498,Seattle,WA,98108,2064783457,2064354132,704246572,1984-04-10,2014-10-29,,0.35,2014-10-15,B
17,Reingold,Abbie,623 South Hampton Way,Portland,OR,97204,5035497241,5063789855,724354544,1987-06-21,2013-11-24,2013-02-02,0.3,2013-12-10,D
18,Smith,Luke,1322 Buckeye Trail NW,Portland,OR,97207,5035716575,5039785432,701234900,1987-09-28,2010-06-14,,0.4,2010-06-15,C
19,Nicholson,Alberto,707 W 21st Street #68,Portland,OR,97215,5035853589,5037897124,703264978,1989-05-30,2014-12-23,,0.35,2014-01-15,A
20,Nesson,Roy,105 Gattis School Road,Seattle,WA,99217,2064873245,2067741445,705364444,1989-12-12,2014-02-03,,0.45,2014-09-10,B
21,Donaldson,Turner,277 Woodway Drive,Jackson Hole,WY,83010,3075713575,3078645732,812450000,1988-10-14,2015-06-30,,0.4,2015-09-01,B
22,Minton,Dawson,780 North Loop #298,Seattle,WA,99217,2068745765,2067843541,709531277,1987-06-20,2015-07-15,,0.35,2015-01-04,A
