DriverID,DriverLast,DriverFirst,Zip,Phone,Cell,SSN,DOB,StartDate,EndDate,MileageRate,Review,DrivingRecord,Address,City,State
1,Lo,Jerry,83001,3076435512,3075745444,124002465,1986/9/12,2014/1/22,2014/6/15,0.35,,A,600 East 22nd Street,Jackson Hole,WY
2,Samson,John,99213,5095422212,5095741115,725461340,1984/12/16,2015/11/22,,0.3,2015/5/20,A,9708 Manchaca Road,Spokane,WA
3,Spichalla,Virginia,98102,2067415132,2064571544,728224333,1986/10/24,2014/10/21,,0.35,2014/8/16,B,2120 53rd Street SW,Seattle,WA
4,Nabinger,Jonathan,98103,2065431542,2064852461,901543211,1995/2/14,2013/9/12,,0.35,2013/1/5,C,11215 87th Avenue NE,Seattle,WA
7,Snowden,Byron,97204,5034514541,5034875544,321560000,1993/8/14,2008/6/14,,0.35,2008/6/15,C,300 Promontory Drive,Portland,OR
8,Solquim,Cindy,83002,3075712241,3078974541,915424687,1985/10/6,2006/3/14,,0.4,2007/10/1,A,755 Cherry Valley Drive,Jackson Hole,WY
9,Able,Manuel,97201,5032121574,5034571544,987352000,1995/11/24,2011/4/5,,0.4,2012/11/1,B,3010 W Anderson Lane,Portland,OR
10,Condon,Jackie,99216,5097415741,5097842456,953102431,1996/7/30,2009/10/15,,0.45,2009/2/15,A,620 East Empire Street,Spokane,WA
11,Vandre,Ned,98116,2062487468,2068745441,908754641,1997/4/5,2016/9/10,2017/3/22,0.45,2016/10/29,A,10611 Freidrich Lane SW,Seattle,WA
12,Lindsey,Nathan,97207,5034571541,5037877771,983567899,1996/12/31,2016/2/24,,0.5,2016/3/1,A,861 Loop 337 E,Portland,OR
13,O'Reilly,John,98127,2065741241,2063127489,724135755,1984/7/4,2015/1/29,,0.5,2015/3/15,A,2520 Longview Drive E,Seattle,WA
14,Mahata,Charles,83004,3079856455,3078973544,267544,1991/3/1,2012/1/29,,0.5,2012/11/15,A,101 Shady Lane,Jackson Hole,WY
15,Strong,Victor,99216,5096451354,5095473123,721246721,1992/4/24,2014/8/14,,0.4,2014/10/15,A,5421 Bee Cave Road,Spokane,WA
16,Avalon,Robert,98108,2064783457,2064354132,704246572,1984/4/10,2014/10/29,,0.35,2014/10/15,B,35741 Steck Avenue #498,Seattle,WA
17,Reingold,Abbie,97204,5035497241,5063789855,724354544,1987/6/21,2013/11/24,2013/2/2,0.3,2013/12/10,D,623 South Hampton Way,Portland,OR
18,Smith,Luke,97207,5035716575,5039785432,701234900,1987/9/28,2010/6/14,,0.4,2010/6/15,C,1322 Buckeye Trail NW,Portland,OR
19,Nicholson,Alberto,97215,5035853589,5037897124,703264978,1989/5/30,2014/12/23,,0.35,2014/1/15,A,707 W 21st Street #68,Portland,OR
20,Nesson,Roy,99217,2064873245,2067741445,705364444,1989/12/12,2014/2/3,,0.45,2014/9/10,B,105 Gattis School Road,Seattle,WA
21,Donaldson,Turner,83010,3075713575,3078645732,812450000,1988/10/14,2015/6/30,,0.4,2015/9/1,B,277 Woodway Drive,Jackson Hole,WY
22,Minton,Dawson,99217,2068745765,2067843541,709531277,1987/6/20,2015/7/15,,0.35,2015/1/4,A,780 North Loop #298,Seattle,WA
